Progress,Duration (in seconds),consent,gender,gender_3_TEXT,ethnicity,ethnicity_10_TEXT,age,attention_check_rec,attention_check,tribe_preference,choleric_definition,comments,condition,condition_1-tribe_a-positive_trait_1,condition_1-tribe_a-positive_trait_2,condition_1-tribe_a-positive_trait_3,condition_1-tribe_a-positive_trait_4,condition_1-tribe_a-positive_trait_5,condition_1-tribe_a-positive_trait_6,condition_1-tribe_a-negative_trait_1,condition_1-tribe_a-negative_trait_2,condition_1-tribe_a-negative_trait_3,condition_1-tribe_a-negative_trait_4,condition_1-tribe_a-negative_trait_5,condition_1-tribe_a-negative_trait_6,condition_1-tribe_b-positive_trait_1,condition_1-tribe_b-positive_trait_2,condition_1-tribe_b-positive_trait_3,condition_1-tribe_b-positive_trait_4,condition_1-tribe_b-positive_trait_5,condition_1-tribe_b-positive_trait_6,condition_1-tribe_b-negative_trait_1,condition_1-tribe_b-negative_trait_2,condition_1-tribe_b-negative_trait_3,condition_1-tribe_b-negative_trait_4,condition_1-tribe_b-negative_trait_5,condition_1-tribe_b-negative_trait_6,condition_2-tribe_a-positive_trait_1,condition_2-tribe_a-positive_trait_2,condition_2-tribe_a-positive_trait_3,condition_2-tribe_a-positive_trait_4,condition_2-tribe_a-positive_trait_5,condition_2-tribe_a-positive_trait_6,condition_2-tribe_a-negative_trait_1,condition_2-tribe_a-negative_trait_2,condition_2-tribe_a-negative_trait_3,condition_2-tribe_a-negative_trait_4,condition_2-tribe_a-negative_trait_5,condition_2-tribe_a-negative_trait_6,condition_2-tribe_b-positive_trait_1,condition_2-tribe_b-positive_trait_2,condition_2-tribe_b-positive_trait_3,condition_2-tribe_b-positive_trait_4,condition_2-tribe_b-positive_trait_5,condition_2-tribe_b-positive_trait_6,condition_2-tribe_b-negative_trait_1,condition_2-tribe_b-negative_trait_2,condition_2-tribe_b-negative_trait_3,condition_2-tribe_b-negative_trait_4,condition_2-tribe_b-negative_trait_5,condition_2-tribe_b-negative_trait_6,condition_3-tribe_b-positive_trait_1,condition_3-tribe_b-positive_trait_2,condition_3-tribe_b-positive_trait_3,condition_3-tribe_b-positive_trait_4,condition_3-tribe_b-positive_trait_5,condition_3-tribe_b-positive_trait_6,condition_3-tribe_b-negative_trait_1,condition_3-tribe_b-negative_trait_2,condition_3-tribe_b-negative_trait_3,condition_3-tribe_b-negative_trait_4,condition_3-tribe_b-negative_trait_5,condition_3-tribe_b-negative_trait_6,condition_3-tribe_a-positive_trait_1,condition_3-tribe_a-positive_trait_2,condition_3-tribe_a-positive_trait_3,condition_3-tribe_a-positive_trait_4,condition_3-tribe_a-positive_trait_5,condition_3-tribe_a-positive_trait_6,condition_3-tribe_a-negative_trait_1,condition_3-tribe_a-negative_trait_2,condition_3-tribe_a-negative_trait_3,condition_3-tribe_a-negative_trait_4,condition_3-tribe_a-negative_trait_5,condition_3-tribe_a-negative_trait_6,condition_4-tribe_b-positive_trait_1,condition_4-tribe_b-positive_trait_2,condition_4-tribe_b-positive_trait_3,condition_4-tribe_b-positive_trait_4,condition_4-tribe_b-positive_trait_5,condition_4-tribe_b-positive_trait_6,condition_4-tribe_b-negative_trait_1,condition_4-tribe_b-negative_trait_2,condition_4-tribe_b-negative_trait_3,condition_4-tribe_b-negative_trait_4,condition_4-tribe_b-negative_trait_5,condition_4-tribe_b-negative_trait_6,condition_4-tribe_a-positive_trait_1,condition_4-tribe_a-positive_trait_2,condition_4-tribe_a-positive_trait_3,condition_4-tribe_a-positive_trait_4,condition_4-tribe_a-positive_trait_5,condition_4-tribe_a-positive_trait_6,condition_4-tribe_a-negative_trait_1,condition_4-tribe_a-negative_trait_2,condition_4-tribe_a-negative_trait_3,condition_4-tribe_a-negative_trait_4,condition_4-tribe_a-negative_trait_5,condition_4-tribe_a-negative_trait_6
100,334,1,1.0,,4.0,,64.0,1.0,Pilut,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,,Trustworthy,,,,Choleric,Withdrawn,Egoistic,,,Funny,Relaxed,Caring,,,,,Choleric,Withdrawn,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,293,1,1.0,,4.0,,36.0,1.0,pilut,1.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,,,Caring,Trustworthy,,,Faithless,,Withdrawn,Egoistic,,Likeable,,,Caring,Trustworthy,Resentful,Dumb,,Choleric,,,,,,,,,,,,,,,,,,,,,,,,,,
100,215,1,2.0,,5.0,,19.0,1.0,pilut,0.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Funny,,Caring,Trustworthy,Resentful,,Faithless,,,Egoistic,Tolerant,Likeable,,Relaxed,,,Resentful,,Faithless,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,177,1,2.0,,5.0,,36.0,1.0,pilut,1.0,4.0,,1.0,Tolerant,,,Relaxed,Caring,,Resentful,,,Choleric,,Egoistic,Tolerant,,,Relaxed,Caring,,,Dumb,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,263,1,2.0,,5.0,,24.0,1.0,pilut,0.0,1.0,,1.0,Tolerant,,,Relaxed,Caring,,Resentful,,,Choleric,Withdrawn,,Tolerant,,,Relaxed,Caring,,,Dumb,Faithless,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,202,1,2.0,,5.0,,25.0,1.0,pilut,1.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,,Relaxed,,Trustworthy,,Dumb,Faithless,Choleric,,,,Likeable,,Relaxed,,Trustworthy,Resentful,,,,Withdrawn,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,328,1,1.0,,5.0,,18.0,1.0,pilut,1.0,4.0,,1.0,,,Funny,Relaxed,Caring,,,Dumb,Faithless,,,Egoistic,,,Funny,Relaxed,Caring,,Resentful,,,Choleric,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,391,1,1.0,,7.0,,26.0,1.0,pilut,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,,Caring,,Resentful,,,Choleric,Withdrawn,,,Likeable,,Relaxed,,Trustworthy,Resentful,,,Choleric,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,204,1,2.0,,4.0,,50.0,1.0,Pilut,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Funny,Relaxed,,Trustworthy,,Dumb,Faithless,,Withdrawn,,Tolerant,Likeable,,,Caring,,,Dumb,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,241,1,1.0,,5.0,,22.0,1.0,Pilut,1.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,,Relaxed,,Trustworthy,,Dumb,Faithless,,Withdrawn,,Tolerant,,Funny,,Caring,,,Dumb,Faithless,,Withdrawn,
100,158,1,1.0,,4.0,,21.0,1.0,Pilut,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,Caring,,,,,Choleric,Withdrawn,Egoistic,,,Funny,Relaxed,,Trustworthy,,,,Choleric,Withdrawn,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,296,1,2.0,,5.0,,23.0,1.0,pilut,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,,Relaxed,Caring,,,,Faithless,Choleric,,Egoistic,,Likeable,Funny,,,Trustworthy,,,Faithless,Choleric,,Egoistic
100,196,1,2.0,,4.0,,32.0,1.0,pilut,0.0,1.0,,1.0,,Likeable,,Relaxed,Caring,,,,Faithless,Choleric,Withdrawn,,,Likeable,,Relaxed,Caring,,Resentful,Dumb,,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,372,1,1.0,,4.0,,20.0,1.0,pilut,0.0,1.0,,1.0,,Likeable,Funny,,,Trustworthy,Resentful,,,,Withdrawn,Egoistic,,Likeable,Funny,,,Trustworthy,,Dumb,Faithless,Choleric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,358,1,2.0,,5.0,,24.0,1.0,pilut,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,,,Trustworthy,,Dumb,Faithless,,Withdrawn,,,Likeable,Funny,,,Trustworthy,Resentful,,,Choleric,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,406,1,2.0,,4.0,,29.0,1.0,pilut,1.0,2.0,,1.0,Tolerant,Likeable,,,,Trustworthy,,Dumb,Faithless,,Withdrawn,,Tolerant,Likeable,,,,Trustworthy,Resentful,,,Choleric,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,254,1,1.0,,5.0,,24.0,1.0,Pilut,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,,,Trustworthy,Resentful,Dumb,,,,Egoistic,,Likeable,,Relaxed,Caring,,Resentful,Dumb,,,,Egoistic
100,309,1,1.0,,5.0,,18.0,1.0,pilut,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,,Trustworthy,,,Faithless,Choleric,Withdrawn,,,,Funny,Relaxed,Caring,,,,Faithless,Choleric,Withdrawn,
100,239,1,1.0,,5.0,,27.0,1.0,pilut,0.0,4.0,,1.0,Tolerant,Likeable,,,,Trustworthy,Resentful,Dumb,,Choleric,,,Tolerant,Likeable,,,,Trustworthy,,,Faithless,,Withdrawn,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,246,1,2.0,,5.0,,31.0,1.0,pilut,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,Relaxed,,,Resentful,,,,Withdrawn,Egoistic,Tolerant,,,,Caring,Trustworthy,Resentful,,,,Withdrawn,Egoistic
100,227,1,2.0,,5.0,,28.0,1.0,pilut,0.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,,,Trustworthy,Resentful,,,Choleric,,Egoistic,Tolerant,,Funny,,,Trustworthy,,Dumb,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,
